,utdate,quarter,start,stop,kpfcc,dark
0,2021-02-02,1,05:03,07:49,False,True
1,2021-02-02,2,07:49,10:35,False,False
2,2021-02-02,3,10:35,13:21,False,False
3,2021-02-02,4,13:21,16:07,False,False
4,2021-02-03,1,05:04,07:49,False,True
5,2021-02-03,2,07:49,10:35,False,False
6,2021-02-03,3,10:35,13:21,False,False
7,2021-02-03,4,13:21,16:07,True,False
8,2021-02-04,1,05:04,07:50,True,True
9,2021-02-04,2,07:50,10:35,True,False
10,2021-02-04,3,10:35,13:21,False,False
11,2021-02-04,4,13:21,16:06,False,False
12,2021-02-05,1,05:05,07:50,False,True
13,2021-02-05,2,07:50,10:35,False,True
14,2021-02-05,3,10:35,13:21,True,False
15,2021-02-05,4,13:21,16:06,True,False
16,2021-02-06,1,05:05,07:50,False,True
17,2021-02-06,2,07:50,10:35,False,True
18,2021-02-06,3,10:35,13:21,False,False
19,2021-02-06,4,13:21,16:06,True,False
20,2021-02-07,1,05:06,07:51,False,True
21,2021-02-07,2,07:51,10:35,False,True
22,2021-02-07,3,10:35,13:20,False,True
23,2021-02-07,4,13:20,16:05,False,False
24,2021-02-08,1,05:06,07:51,False,True
25,2021-02-08,2,07:51,10:35,False,True
26,2021-02-08,3,10:35,13:20,False,True
27,2021-02-08,4,13:20,16:05,True,False
28,2021-02-09,1,05:06,07:51,False,True
29,2021-02-09,2,07:51,10:36,False,True
30,2021-02-09,3,10:36,13:20,False,True
31,2021-02-09,4,13:20,16:05,True,False
32,2021-02-10,1,05:07,07:51,False,True
33,2021-02-10,2,07:51,10:36,False,True
34,2021-02-10,3,10:36,13:20,False,True
35,2021-02-10,4,13:20,16:04,False,True
36,2021-02-11,1,05:07,07:51,False,True
37,2021-02-11,2,07:51,10:36,False,True
38,2021-02-11,3,10:36,13:20,False,True
39,2021-02-11,4,13:20,16:04,False,True
40,2021-02-12,1,05:08,07:52,False,True
41,2021-02-12,2,07:52,10:36,False,True
42,2021-02-12,3,10:36,13:19,False,True
43,2021-02-12,4,13:19,16:03,False,True
44,2021-02-13,1,05:08,07:52,True,False
45,2021-02-13,2,07:52,10:35,False,True
46,2021-02-13,3,10:35,13:19,False,True
47,2021-02-13,4,13:19,16:03,False,True
48,2021-02-14,1,05:09,07:52,False,False
49,2021-02-14,2,07:52,10:35,False,True
50,2021-02-14,3,10:35,13:19,False,True
51,2021-02-14,4,13:19,16:02,False,True
52,2021-02-15,1,05:09,07:52,True,False
53,2021-02-15,2,07:52,10:35,False,True
54,2021-02-15,3,10:35,13:19,False,True
55,2021-02-15,4,13:19,16:02,False,True
56,2021-02-16,1,05:09,07:52,True,False
57,2021-02-16,2,07:52,10:35,False,False
58,2021-02-16,3,10:35,13:18,False,True
59,2021-02-16,4,13:18,16:01,False,True
60,2021-02-17,1,05:10,07:53,True,False
61,2021-02-17,2,07:53,10:35,True,False
62,2021-02-17,3,10:35,13:18,False,True
63,2021-02-17,4,13:18,16:01,False,True
64,2021-02-18,1,05:10,07:53,True,False
65,2021-02-18,2,07:53,10:35,True,False
66,2021-02-18,3,10:35,13:18,False,True
67,2021-02-18,4,13:18,16:00,False,True
68,2021-02-19,1,05:11,07:53,True,False
69,2021-02-19,2,07:53,10:35,False,False
70,2021-02-19,3,10:35,13:17,False,True
71,2021-02-19,4,13:17,16:00,False,True
72,2021-02-20,1,05:11,07:53,True,False
73,2021-02-20,2,07:53,10:35,True,False
74,2021-02-20,3,10:35,13:17,False,False
75,2021-02-20,4,13:17,15:59,False,True
76,2021-02-21,1,05:11,07:53,False,False
77,2021-02-21,2,07:53,10:35,False,False
78,2021-02-21,3,10:35,13:17,True,False
79,2021-02-21,4,13:17,15:58,True,True
80,2021-02-22,1,05:12,07:53,False,False
81,2021-02-22,2,07:53,10:35,False,False
82,2021-02-22,3,10:35,13:16,True,False
83,2021-02-22,4,13:16,15:58,True,True
84,2021-02-23,1,05:12,07:53,True,False
85,2021-02-23,2,07:53,10:35,False,False
86,2021-02-23,3,10:35,13:16,False,False
87,2021-02-23,4,13:16,15:57,False,False
88,2021-02-24,1,05:12,07:53,False,False
89,2021-02-24,2,07:53,10:34,False,False
90,2021-02-24,3,10:34,13:15,True,False
91,2021-02-24,4,13:15,15:56,True,False
92,2021-02-25,1,05:13,07:54,False,False
93,2021-02-25,2,07:54,10:34,False,False
94,2021-02-25,3,10:34,13:15,False,False
95,2021-02-25,4,13:15,15:56,True,False
96,2021-02-26,1,05:13,07:54,True,False
97,2021-02-26,2,07:54,10:34,False,False
98,2021-02-26,3,10:34,13:15,False,False
99,2021-02-26,4,13:15,15:55,False,False
100,2021-02-27,1,05:13,07:54,False,False
101,2021-02-27,2,07:54,10:34,False,False
102,2021-02-27,3,10:34,13:14,True,False
103,2021-02-27,4,13:14,15:54,True,False
104,2021-02-28,1,05:14,07:54,False,False
105,2021-02-28,2,07:54,10:34,False,False
106,2021-02-28,3,10:34,13:14,False,False
107,2021-02-28,4,13:14,15:54,True,False
108,2021-03-01,1,05:14,07:54,False,False
109,2021-03-01,2,07:54,10:34,False,False
110,2021-03-01,3,10:34,13:13,False,False
111,2021-03-01,4,13:13,15:53,True,False
112,2021-03-02,1,05:14,07:54,False,False
113,2021-03-02,2,07:54,10:33,False,False
114,2021-03-02,3,10:33,13:13,True,False
115,2021-03-02,4,13:13,15:52,True,False
116,2021-03-03,1,05:15,07:54,False,True
117,2021-03-03,2,07:54,10:33,False,False
118,2021-03-03,3,10:33,13:12,False,False
119,2021-03-03,4,13:12,15:52,False,False
120,2021-03-04,1,05:15,07:54,True,True
121,2021-03-04,2,07:54,10:33,True,False
122,2021-03-04,3,10:33,13:12,False,False
123,2021-03-04,4,13:12,15:51,False,False
124,2021-03-05,1,05:15,07:54,False,True
125,2021-03-05,2,07:54,10:33,False,False
126,2021-03-05,3,10:33,13:11,False,False
127,2021-03-05,4,13:11,15:50,True,False
128,2021-03-06,1,05:16,07:54,False,True
129,2021-03-06,2,07:54,10:33,False,True
130,2021-03-06,3,10:33,13:11,False,False
131,2021-03-06,4,13:11,15:49,True,False
132,2021-03-07,1,05:16,07:54,False,True
133,2021-03-07,2,07:54,10:32,False,True
134,2021-03-07,3,10:32,13:10,False,False
135,2021-03-07,4,13:10,15:48,True,False
136,2021-03-08,1,05:16,07:54,False,True
137,2021-03-08,2,07:54,10:32,False,True
138,2021-03-08,3,10:32,13:10,False,True
139,2021-03-08,4,13:10,15:48,True,False
140,2021-03-09,1,05:17,07:54,False,True
141,2021-03-09,2,07:54,10:32,False,True
142,2021-03-09,3,10:32,13:09,True,True
143,2021-03-09,4,13:09,15:47,True,False
144,2021-03-10,1,05:17,07:54,False,True
145,2021-03-10,2,07:54,10:32,False,True
146,2021-03-10,3,10:32,13:09,False,True
147,2021-03-10,4,13:09,15:46,True,False
148,2021-03-11,1,05:17,07:54,False,True
149,2021-03-11,2,07:54,10:31,False,True
150,2021-03-11,3,10:31,13:08,False,True
151,2021-03-11,4,13:08,15:45,False,True
152,2021-03-12,1,05:18,07:54,False,True
153,2021-03-12,2,07:54,10:31,False,True
154,2021-03-12,3,10:31,13:08,False,True
155,2021-03-12,4,13:08,15:44,False,True
156,2021-03-13,1,05:18,07:54,False,True
157,2021-03-13,2,07:54,10:31,False,True
158,2021-03-13,3,10:31,13:07,False,True
159,2021-03-13,4,13:07,15:44,False,True
160,2021-03-14,1,05:18,07:54,False,True
161,2021-03-14,2,07:54,10:30,False,True
162,2021-03-14,3,10:30,13:07,False,True
163,2021-03-14,4,13:07,15:43,False,True
164,2021-03-15,1,05:18,07:54,True,False
165,2021-03-15,2,07:54,10:30,True,True
166,2021-03-15,3,10:30,13:06,False,True
167,2021-03-15,4,13:06,15:42,False,True
168,2021-03-16,1,05:19,07:54,True,False
169,2021-03-16,2,07:54,10:30,False,True
170,2021-03-16,3,10:30,13:05,False,True
171,2021-03-16,4,13:05,15:41,False,True
172,2021-03-17,1,05:19,07:54,True,False
173,2021-03-17,2,07:54,10:30,False,True
174,2021-03-17,3,10:30,13:05,False,True
175,2021-03-17,4,13:05,15:40,False,True
176,2021-03-18,1,05:19,07:54,False,False
177,2021-03-18,2,07:54,10:29,False,False
178,2021-03-18,3,10:29,13:04,False,True
179,2021-03-18,4,13:04,15:39,False,True
180,2021-03-19,1,05:20,07:54,False,False
181,2021-03-19,2,07:54,10:29,False,False
182,2021-03-19,3,10:29,13:04,False,True
183,2021-03-19,4,13:04,15:38,False,True
184,2021-03-20,1,05:20,07:54,True,False
185,2021-03-20,2,07:54,10:29,False,False
186,2021-03-20,3,10:29,13:03,False,True
187,2021-03-20,4,13:03,15:38,False,True
188,2021-03-21,1,05:20,07:54,True,False
189,2021-03-21,2,07:54,10:28,True,False
190,2021-03-21,3,10:28,13:03,False,False
191,2021-03-21,4,13:03,15:37,False,True
192,2021-03-22,1,05:20,07:54,False,False
193,2021-03-22,2,07:54,10:28,False,False
194,2021-03-22,3,10:28,13:02,True,False
195,2021-03-22,4,13:02,15:36,True,True
196,2021-03-23,1,05:21,07:54,True,False
197,2021-03-23,2,07:54,10:28,False,False
198,2021-03-23,3,10:28,13:01,False,False
199,2021-03-23,4,13:01,15:35,False,True
200,2021-03-24,1,05:21,07:54,True,False
201,2021-03-24,2,07:54,10:28,True,False
202,2021-03-24,3,10:28,13:01,False,False
203,2021-03-24,4,13:01,15:34,False,False
204,2021-03-25,1,05:21,07:54,True,False
205,2021-03-25,2,07:54,10:27,False,False
206,2021-03-25,3,10:27,13:00,False,False
207,2021-03-25,4,13:00,15:33,False,False
208,2021-03-26,1,05:22,07:54,False,False
209,2021-03-26,2,07:54,10:27,False,False
210,2021-03-26,3,10:27,13:00,False,False
211,2021-03-26,4,13:00,15:32,True,False
212,2021-03-27,1,05:22,07:54,True,False
213,2021-03-27,2,07:54,10:27,False,False
214,2021-03-27,3,10:27,12:59,False,False
215,2021-03-27,4,12:59,15:31,False,False
216,2021-03-28,1,05:22,07:54,True,False
217,2021-03-28,2,07:54,10:26,False,False
218,2021-03-28,3,10:26,12:58,False,False
219,2021-03-28,4,12:58,15:30,False,False
220,2021-03-29,1,05:23,07:54,False,False
221,2021-03-29,2,07:54,10:26,False,False
222,2021-03-29,3,10:26,12:58,False,False
223,2021-03-29,4,12:58,15:30,True,False
224,2021-03-30,1,05:23,07:54,False,False
225,2021-03-30,2,07:54,10:26,False,False
226,2021-03-30,3,10:26,12:57,False,False
227,2021-03-30,4,12:57,15:29,True,False
228,2021-03-31,1,05:23,07:54,True,False
229,2021-03-31,2,07:54,10:25,False,False
230,2021-03-31,3,10:25,12:57,False,False
231,2021-03-31,4,12:57,15:28,False,False
232,2021-04-01,1,05:23,07:54,False,True
233,2021-04-01,2,07:54,10:25,False,False
234,2021-04-01,3,10:25,12:56,False,False
235,2021-04-01,4,12:56,15:27,True,False
236,2021-04-02,1,05:24,07:54,False,True
237,2021-04-02,2,07:54,10:25,False,False
238,2021-04-02,3,10:25,12:55,False,False
239,2021-04-02,4,12:55,15:26,False,False
240,2021-04-03,1,05:24,07:54,False,True
241,2021-04-03,2,07:54,10:25,False,False
242,2021-04-03,3,10:25,12:55,False,False
243,2021-04-03,4,12:55,15:25,True,False
244,2021-04-04,1,05:24,07:54,False,True
245,2021-04-04,2,07:54,10:24,False,True
246,2021-04-04,3,10:24,12:54,False,False
247,2021-04-04,4,12:54,15:24,False,False
248,2021-04-05,1,05:25,07:54,False,True
249,2021-04-05,2,07:54,10:24,False,True
250,2021-04-05,3,10:24,12:54,False,False
251,2021-04-05,4,12:54,15:23,True,False
252,2021-04-06,1,05:25,07:54,False,True
253,2021-04-06,2,07:54,10:24,False,True
254,2021-04-06,3,10:24,12:53,False,True
255,2021-04-06,4,12:53,15:22,False,False
256,2021-04-07,1,05:25,07:54,False,True
257,2021-04-07,2,07:54,10:23,False,True
258,2021-04-07,3,10:23,12:52,False,True
259,2021-04-07,4,12:52,15:21,True,False
260,2021-04-08,1,05:26,07:54,False,True
261,2021-04-08,2,07:54,10:23,False,True
262,2021-04-08,3,10:23,12:52,False,True
263,2021-04-08,4,12:52,15:21,True,False
264,2021-04-09,1,05:26,07:54,False,True
265,2021-04-09,2,07:54,10:23,False,True
266,2021-04-09,3,10:23,12:51,False,True
267,2021-04-09,4,12:51,15:20,True,False
268,2021-04-10,1,05:26,07:54,False,True
269,2021-04-10,2,07:54,10:23,False,True
270,2021-04-10,3,10:23,12:51,False,True
271,2021-04-10,4,12:51,15:19,False,True
272,2021-04-11,1,05:27,07:55,False,True
273,2021-04-11,2,07:55,10:22,False,True
274,2021-04-11,3,10:22,12:50,False,True
275,2021-04-11,4,12:50,15:18,False,True
276,2021-04-12,1,05:27,07:55,False,True
277,2021-04-12,2,07:55,10:22,False,True
278,2021-04-12,3,10:22,12:50,False,True
279,2021-04-12,4,12:50,15:17,False,True
280,2021-04-13,1,05:27,07:55,False,True
281,2021-04-13,2,07:55,10:22,False,True
282,2021-04-13,3,10:22,12:49,False,True
283,2021-04-13,4,12:49,15:16,False,True
284,2021-04-14,1,05:28,07:55,False,False
285,2021-04-14,2,07:55,10:22,False,True
286,2021-04-14,3,10:22,12:48,False,True
287,2021-04-14,4,12:48,15:15,False,True
288,2021-04-15,1,05:28,07:55,True,False
289,2021-04-15,2,07:55,10:21,True,True
290,2021-04-15,3,10:21,12:48,False,True
291,2021-04-15,4,12:48,15:14,False,True
292,2021-04-16,1,05:29,07:55,False,False
293,2021-04-16,2,07:55,10:21,False,False
294,2021-04-16,3,10:21,12:47,False,True
295,2021-04-16,4,12:47,15:14,False,True
296,2021-04-17,1,05:29,07:55,False,False
297,2021-04-17,2,07:55,10:21,False,False
298,2021-04-17,3,10:21,12:47,False,True
299,2021-04-17,4,12:47,15:13,False,True
300,2021-04-18,1,05:29,07:55,True,False
301,2021-04-18,2,07:55,10:21,False,False
302,2021-04-18,3,10:21,12:46,False,True
303,2021-04-18,4,12:46,15:12,False,True
304,2021-04-19,1,05:30,07:55,True,False
305,2021-04-19,2,07:55,10:20,False,False
306,2021-04-19,3,10:20,12:46,False,False
307,2021-04-19,4,12:46,15:11,False,True
308,2021-04-20,1,05:30,07:55,True,False
309,2021-04-20,2,07:55,10:20,False,False
310,2021-04-20,3,10:20,12:45,False,False
311,2021-04-20,4,12:45,15:10,False,True
312,2021-04-21,1,05:30,07:55,True,False
313,2021-04-21,2,07:55,10:20,False,False
314,2021-04-21,3,10:20,12:45,False,False
315,2021-04-21,4,12:45,15:09,False,True
316,2021-04-22,1,05:31,07:55,False,False
317,2021-04-22,2,07:55,10:20,False,False
318,2021-04-22,3,10:20,12:44,True,False
319,2021-04-22,4,12:44,15:09,True,False
320,2021-04-23,1,05:31,07:55,True,False
321,2021-04-23,2,07:55,10:20,False,False
322,2021-04-23,3,10:20,12:44,False,False
323,2021-04-23,4,12:44,15:08,False,False
324,2021-04-24,1,05:32,07:56,True,False
325,2021-04-24,2,07:56,10:19,False,False
326,2021-04-24,3,10:19,12:43,False,False
327,2021-04-24,4,12:43,15:07,False,False
328,2021-04-25,1,05:32,07:56,True,False
329,2021-04-25,2,07:56,10:19,False,False
330,2021-04-25,3,10:19,12:43,False,False
331,2021-04-25,4,12:43,15:06,False,False
332,2021-04-26,1,05:33,07:56,True,False
333,2021-04-26,2,07:56,10:19,False,False
334,2021-04-26,3,10:19,12:42,False,False
335,2021-04-26,4,12:42,15:06,False,False
336,2021-04-27,1,05:33,07:56,True,False
337,2021-04-27,2,07:56,10:19,False,False
338,2021-04-27,3,10:19,12:42,False,False
339,2021-04-27,4,12:42,15:05,False,False
340,2021-04-28,1,05:33,07:56,True,False
341,2021-04-28,2,07:56,10:19,False,False
342,2021-04-28,3,10:19,12:41,False,False
343,2021-04-28,4,12:41,15:04,False,False
344,2021-04-29,1,05:34,07:56,False,False
345,2021-04-29,2,07:56,10:19,False,False
346,2021-04-29,3,10:19,12:41,True,False
347,2021-04-29,4,12:41,15:03,True,False
348,2021-04-30,1,05:34,07:56,False,True
349,2021-04-30,2,07:56,10:19,False,False
350,2021-04-30,3,10:19,12:41,False,False
351,2021-04-30,4,12:41,15:03,True,False
352,2021-05-01,1,05:35,07:57,True,True
353,2021-05-01,2,07:57,10:18,True,False
354,2021-05-01,3,10:18,12:40,False,False
355,2021-05-01,4,12:40,15:02,False,False
356,2021-05-02,1,05:35,07:57,False,True
357,2021-05-02,2,07:57,10:18,False,False
358,2021-05-02,3,10:18,12:40,True,False
359,2021-05-02,4,12:40,15:01,True,False
360,2021-05-03,1,05:36,07:57,False,True
361,2021-05-03,2,07:57,10:18,False,True
